,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
487,Z2_C0_T00.tif,42_8,26,0.5440588203494177,15.65685424949238,10901.059999999998,6813.54,Z2_C1_T00.tif,769.2930769230768,3502.36,14.17023021135288
488,Z2_C0_T00.tif,42_9,12,0.0,9.65685424949238,10845.643333333332,6813.54,Z2_C1_T00.tif,792.2033333333333,3502.36,13.6904792961403
489,Z2_C0_T00.tif,42_10,36,0.5439056439097798,19.071067811865476,11170.365555555552,6813.54,Z2_C1_T00.tif,3514.5922222222216,3502.36,3.17828210195398
490,Z2_C0_T00.tif,42_11,26,0.5440588203494177,15.65685424949238,11087.136923076921,6813.54,Z2_C1_T00.tif,1173.4084615384613,3502.36,9.448659428056727
491,Z2_C0_T00.tif,42_12,30,0.4509717590117594,17.071067811865476,8918.526666666667,6813.54,Z2_C1_T00.tif,2062.903333333334,3502.36,4.323288698290918
492,Z2_C0_T00.tif,42_13,94,0.9275028526757297,40.97056274847714,11697.208936170215,6813.54,Z2_C1_T00.tif,2717.678510638297,3502.36,4.304117978039613
493,Z2_C0_T00.tif,42_14,10,0.6164414002968978,9.071067811865476,9816.06,6813.54,Z2_C1_T00.tif,57934.47000000001,3502.36,0.16943384482502383
494,Z2_C0_T00.tif,42_15,35,0.524287959710202,19.071067811865476,11071.959999999997,6813.54,Z2_C1_T00.tif,4222.7699999999995,3502.36,2.621966150181042
495,Z2_C0_T00.tif,42_16,53,0.555958931227047,24.48528137423857,10561.220377358493,6813.54,Z2_C1_T00.tif,3548.80396226415,3502.36,2.975994303900742
496,Z2_C0_T01.tif,43_1,32,0.0,17.65685424949238,9215.631249999999,6813.54,Z2_C1_T01.tif,1968.0424999999996,3502.36,4.6826383322514635
497,Z2_C0_T01.tif,43_2,74,0.8732300257329964,32.72792206135786,12899.302702702702,6813.54,Z2_C1_T01.tif,1394.6962162162156,3502.36,9.248826054535565
498,Z2_C0_T01.tif,43_3,12,0.0,9.65685424949238,10008.433333333336,6813.54,Z2_C1_T01.tif,490.22999999999956,3502.36,20.415791227247098
499,Z2_C0_T01.tif,43_4,16,0.5773502691896258,11.65685424949238,8204.9125,6813.54,Z2_C1_T01.tif,2760.6674999999996,3502.36,2.9720755940365877
500,Z2_C0_T01.tif,43_5,81,0.8160054567848004,35.55634918610404,9937.680246913582,6813.54,Z2_C1_T01.tif,2352.7886419753086,3502.36,4.2237879211157265
501,Z2_C0_T01.tif,43_6,59,0.4759840495861203,25.31370849898476,12630.455932203391,6813.54,Z2_C1_T01.tif,3072.1071186440686,3502.36,4.111333180913977
502,Z2_C0_T01.tif,43_7,43,0.6022602026157812,21.31370849898476,10009.983720930231,6813.54,Z2_C1_T01.tif,1998.7823255813946,3502.36,5.008040942136399
503,Z2_C0_T01.tif,43_8,67,0.8551959419022801,30.727922061357855,11119.667164179104,6813.54,Z2_C1_T01.tif,1189.0620895522381,3502.36,9.351628701211395
504,Z2_C0_T01.tif,43_9,86,0.7356337864256447,37.55634918610404,11435.390697674418,6813.54,Z2_C1_T01.tif,1800.8753488372097,3502.36,6.349906841169228
505,Z2_C0_T01.tif,43_10,43,0.39781471223220566,21.071067811865476,11210.634883720928,6813.54,Z2_C1_T01.tif,2420.54976744186,3502.36,4.631441598314587
506,Z2_C0_T01.tif,43_11,98,0.8649317642662359,56.04163056034261,10353.691836734695,6813.54,Z2_C1_T01.tif,1364.4289795918364,3502.36,7.58829663661348
507,Z2_C0_T01.tif,43_12,27,0.920270161164382,19.899494936611667,8672.803703703705,6813.54,Z2_C1_T01.tif,14251.924444444443,3502.36,0.6085356218040054
508,Z2_C0_T01.tif,43_13,8,0.5773502691896258,7.65685424949238,8710.6,6813.54,Z2_C1_T01.tif,4798.605,3502.36,1.8152358862627787
